id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
100018,Private room in Williamsburg,53972,Maria,Brooklyn,Williamsburg,40.64836,-74.01401,Private room,66.0,1,13,2019-01-15,1.07,3,51
100019,Shared room in Bedford-Stuyvesant,913801,Wei,Brooklyn,Bedford-Stuyvesant,40.65036,-73.93222,Shared room,47.0,3,9,2019-02-15,0.9,3,209
100020,Entire home/apt in Harlem,961808,Fatima,Manhattan,Harlem,40.79752,-73.99637,Entire home/apt,201.0,3,4,2019-07-15,0.05,8,11
100021,Private room in Flushing,709466,Maria,Queens,Flushing,40.74086,-73.77411,Private room,32.0,5,5,2019-02-15,0.39,2,0
100022,Entire home/apt in East Village,201279,Miguel,Manhattan,East Village,40.76513,-73.89839,Entire home/apt,294.0,5,3,2019-07-15,0.44,1,276
100023,Entire home/apt in Upper East Side,556616,John,Manhattan,Upper East Side,40.76715,-73.92735,Entire home/apt,155.0,5,4,2019-04-15,0.42,2,0
100024,Entire home/apt in Greenpoint,171111,Sara,Brooklyn,Greenpoint,40.65783,-73.92279,Entire home/apt,131.0,2,13,2019-05-15,0.9,3,0
100025,Private room in Mott Haven,242669,Wei,Bronx,Mott Haven,40.86896,-73.87258,Private room,43.0,7,8,2019-01-15,0.0,1,265
100026,Private room in Hell's Kitchen,759886,Wei,Manhattan,Hell's Kitchen,40.76327,-73.95477,Private room,100.0,5,8,2019-06-15,0.09,1,194
100027,Entire home/apt in Flatbush,187504,Chen,Brooklyn,Flatbush,40.62974,-73.89567,Entire home/apt,117.0,7,4,2019-07-15,0.38,2,116
100028,Entire home/apt in Greenpoint,560908,Priya,Brooklyn,Greenpoint,40.67019,-73.88857,Entire home/apt,129.0,1,12,2019-08-15,0.15,4,115
100029,Private room in Flatbush,671919,Chen,Brooklyn,Flatbush,40.6937,-73.93583,Private room,70.0,2,2,2019-03-15,0.25,2,322
100030,Private room in Hell's Kitchen,635927,Priya,Manhattan,Hell's Kitchen,40.80597,-73.98477,Private room,102.0,14,3,2019-07-15,0.0,1,304
100031,Entire home/apt in Williamsburg,229789,Priya,Brooklyn,Williamsburg,40.68917,-73.95065,Entire home/apt,107.0,2,1,2019-05-15,0.0,1,114
100032,Private room in Bedford-Stuyvesant,476026,David,Brooklyn,Bedford-Stuyvesant,40.70722,-73.93552,Private room,49.0,14,2,2019-01-15,0.01,1,264
100033,Private room in Crown Heights,302198,Sara,Brooklyn,Crown Heights,40.67998,-73.91607,Private room,55.0,3,13,2019-07-15,0.8,1,87
100034,Private room in Long Island City,344157,John,Queens,Long Island City,40.74224,-73.76292,Private room,33.0,4,2,2019-08-15,0.8,5,63
100035,Private room in Hell's Kitchen,160853,John,Manhattan,Hell's Kitchen,40.79718,-73.94022,Private room,126.0,1,7,2019-04-15,0.21,1,78
100036,Entire home/apt in Astoria,503377,Alex,Queens,Astoria,40.77076,-73.80386,Entire home/apt,72.0,2,2,2019-01-15,0.0,1,110
100037,Entire home/apt in Bedford-Stuyvesant,473406,Sara,Brooklyn,Bedford-Stuyvesant,40.7161,-73.94293,Entire home/apt,111.0,4,8,2019-05-15,0.44,2,246
100038,Entire home/apt in Upper East Side,425735,Alex,Manhattan,Upper East Side,40.74916,-73.98321,Entire home/apt,305.0,2,6,2019-07-15,0.21,4,197
100039,Private room in Park Slope,727008,Maria,Brooklyn,Park Slope,40.66983,-73.94284,Private room,144.0,1,15,2019-04-15,0.01,2,79
100040,Entire home/apt in Bedford-Stuyvesant,825632,Wei,Brooklyn,Bedford-Stuyvesant,40.68594,-73.92733,Entire home/apt,134.0,1,17,2019-03-15,0.92,5,365
100041,Private room in Midtown,931871,Priya,Manhattan,Midtown,40.79931,-73.92158,Private room,81.0,1,7,2019-01-15,0.15,4,222
100042,Private room in Park Slope,787847,John,Brooklyn,Park Slope,40.68616,-73.89549,Private room,72.0,14,0,,,1,280
100043,Entire home/apt in Midtown,921929,Sara,Manhattan,Midtown,40.75517,-73.93786,Entire home/apt,252.0,4,2,2019-03-15,0.38,5,97
100044,Private room in Bushwick,403736,Maria,Brooklyn,Bushwick,40.69334,-73.94036,Private room,57.0,7,9,2019-07-15,0.63,3,209
100045,Private room in Ridgewood,247433,Miguel,Queens,Ridgewood,40.74304,-73.77722,Private room,60.0,1,12,2019-03-15,0.29,4,286
100046,Private room in Chelsea,912758,David,Manhattan,Chelsea,40.75689,-73.95787,Private room,135.0,4,6,2019-02-15,0.19,3,20
100047,Entire home/apt in Greenpoint,116588,Fatima,Brooklyn,Greenpoint,40.64614,-73.97139,Entire home/apt,163.0,1,7,2019-05-15,0.46,2,0
100048,Private room in Bushwick,686476,Priya,Brooklyn,Bushwick,40.66488,-73.90721,Private room,106.0,1,10,2019-05-15,1.01,2,170
100049,Entire home/apt in East Village,53754,Chen,Manhattan,East Village,40.761,-73.97807,Entire home/apt,186.0,1,6,2019-01-15,0.18,5,0
100050,Entire home/apt in Upper West Side,177114,David,Manhattan,Upper West Side,40.7966,-73.96548,Entire home/apt,168.0,30,11,2019-07-15,1.44,2,0
100051,Entire home/apt in Bushwick,561661,Miguel,Brooklyn,Bushwick,40.68532,-73.93148,Entire home/apt,215.0,2,5,2019-08-15,0.0,1,141
100052,Private room in Upper West Side,215962,Wei,Manhattan,Upper West Side,40.75144,-73.9988,Private room,135.0,1,2,2019-02-15,0.0,1,365
100053,Entire home/apt in Astoria,929736,David,Queens,Astoria,40.71444,-73.82332,Entire home/apt,65.0,3,4,2019-08-15,0.38,3,14
100054,Private room in Hell's Kitchen,398127,Priya,Manhattan,Hell's Kitchen,40.77653,-73.95388,Private room,96.0,1,17,2019-05-15,0.5,5,357
100055,Entire home/apt in Upper East Side,346384,Priya,Manhattan,Upper East Side,40.81079,-73.98547,Entire home/apt,221.0,4,9,2019-06-15,0.52,1,365
100056,Entire home/apt in Astoria,496920,John,Queens,Astoria,40.74321,-73.76149,Entire home/apt,103.0,2,9,2019-08-15,0.0,1,239
100057,Entire home/apt in Flatbush,425553,Maria,Brooklyn,Flatbush,40.67105,-73.9794,Entire home/apt,137.0,5,2,2019-01-15,0.23,1,87
100058,Entire home/apt in Flatbush,522728,David,Brooklyn,Flatbush,40.67552,-73.92174,Entire home/apt,259.0,2,3,2019-06-15,0.39,4,25
100059,Entire home/apt in East Village,903085,Sara,Manhattan,East Village,40.78725,-74.00976,Entire home/apt,128.0,1,6,2019-02-15,0.05,1,279
100060,Entire home/apt in Midtown,964407,Maria,Manhattan,Midtown,40.80091,-73.94221,Entire home/apt,118.0,7,18,2019-01-15,0.9,5,138
100061,Entire home/apt in East Village,780089,John,Manhattan,East Village,40.76256,-73.92668,Entire home/apt,373.0,1,8,2019-08-15,0.1,3,105
100062,Entire home/apt in Harlem,91488,Chen,Manhattan,Harlem,40.79591,-73.94187,Entire home/apt,214.0,2,6,2019-04-15,0.55,1,0
100063,Entire home/apt in St. George,486793,Priya,Staten Island,St. George,40.56571,-74.14018,Entire home/apt,124.0,3,14,2019-03-15,0.35,3,145
100064,Private room in Park Slope,672181,Maria,Brooklyn,Park Slope,40.66092,-73.93021,Private room,79.0,5,7,2019-06-15,0.23,1,233
100065,Entire home/apt in Hell's Kitchen,358324,Priya,Manhattan,Hell's Kitchen,40.78257,-73.96564,Entire home/apt,365.0,2,8,2019-02-15,0.86,2,154
100066,Entire home/apt in Financial District,303661,Wei,Manhattan,Financial District,40.74235,-73.96469,Entire home/apt,109.0,14,15,2019-04-15,0.55,1,137
100067,Private room in Park Slope,552609,John,Brooklyn,Park Slope,40.71818,-73.97278,Private room,56.0,5,13,2019-08-15,0.5,3,211
100068,Private room in Harlem,834285,Miguel,Manhattan,Harlem,40.76143,-73.94785,Private room,117.0,5,6,2019-02-15,0.54,1,204
100069,Shared room in East Village,571595,David,Manhattan,East Village,40.78291,-73.93531,Shared room,67.0,3,12,2019-03-15,0.6,3,0
100070,Private room in Bedford-Stuyvesant,907696,Fatima,Brooklyn,Bedford-Stuyvesant,40.68376,-73.95157,Private room,58.0,1,5,2019-07-15,0.23,5,300
100071,Private room in Harlem,781056,Sara,Manhattan,Harlem,40.7407,-73.94179,Private room,102.0,7,6,2019-02-15,0.72,2,229
100072,Private room in Crown Heights,960664,Chen,Brooklyn,Crown Heights,40.68057,-73.87239,Private room,70.0,2,9,2019-06-15,0.28,1,65
100073,Entire home/apt in Greenpoint,496108,Maria,Brooklyn,Greenpoint,40.6908,-73.96015,Entire home/apt,106.0,1,6,2019-06-15,0.41,1,186
100074,Entire home/apt in Flatbush,532080,Fatima,Brooklyn,Flatbush,40.66893,-73.93621,Entire home/apt,190.0,1,7,2019-07-15,0.0,1,365
100075,Private room in Williamsburg,774642,John,Brooklyn,Williamsburg,40.67618,-73.94492,Private room,55.0,3,2,2019-07-15,0.0,1,225
100076,Entire home/apt in Upper East Side,765258,Chen,Manhattan,Upper East Side,40.79386,-73.99424,Entire home/apt,193.0,7,5,2019-02-15,0.0,1,23
100077,Entire home/apt in Park Slope,743162,,Brooklyn,Park Slope,40.67178,-73.95754,Entire home/apt,86.0,5,6,2019-06-15,0.29,3,292
100078,Private room in Crown Heights,639159,Fatima,Brooklyn,Crown Heights,40.67149,-73.95382,Private room,81.0,1,6,2019-07-15,0.25,2,195
100079,Private room in Tompkinsville,175224,Fatima,Staten Island,Tompkinsville,40.57378,-74.21423,Private room,37.0,14,17,2019-05-15,1.05,1,14
100080,Private room in Financial District,687553,Alex,Manhattan,Financial District,40.75799,-73.98862,Private room,136.0,1,11,2019-01-15,0.47,1,76
100081,Entire home/apt in Williamsburg,740682,David,Brooklyn,Williamsburg,40.69887,-73.9322,Entire home/apt,235.0,3,7,2019-06-15,0.64,3,254
100082,Private room in Harlem,140554,Miguel,Manhattan,Harlem,40.77803,-74.03124,Private room,132.0,3,3,2019-05-15,0.0,1,0
100083,Private room in Upper East Side,131300,Sara,Manhattan,Upper East Side,40.7734,-73.95243,Private room,80.0,14,10,2019-01-15,0.0,2,152
100084,Entire home/apt in Upper West Side,310811,Alex,Manhattan,Upper West Side,40.76793,-73.9969,Entire home/apt,171.0,4,3,2019-04-15,0.0,2,0
100085,Entire home/apt in Crown Heights,690331,Wei,Brooklyn,Crown Heights,40.64247,-73.96362,Entire home/apt,130.0,3,4,2019-05-15,0.06,1,190
100086,Entire home/apt in East Village,854428,Wei,Manhattan,East Village,40.80993,-74.01121,Entire home/apt,206.0,4,1,2019-06-15,0.11,2,122
100087,Private room in Williamsburg,548238,Wei,Brooklyn,Williamsburg,40.68263,-73.91504,Private room,77.0,5,9,2019-01-15,0.0,4,180
100088,Shared room in Flatbush,373342,David,Brooklyn,Flatbush,40.6806,-73.94609,Shared room,67.0,7,4,2019-05-15,0.43,1,99
100089,Private room in Upper West Side,227084,John,Manhattan,Upper West Side,40.76073,-74.01237,Private room,140.0,7,15,2019-02-15,0.93,1,207
100090,Shared room in Greenpoint,418786,Priya,Brooklyn,Greenpoint,40.71245,-73.93581,Shared room,37.0,3,3,2019-08-15,0.0,1,167
100091,Entire home/apt in Upper West Side,927136,Chen,Manhattan,Upper West Side,40.78374,-74.00561,Entire home/apt,163.0,5,12,2019-04-15,0.25,5,273
100092,Private room in Hell's Kitchen,861244,Miguel,Manhattan,Hell's Kitchen,40.79144,-73.97939,Private room,120.0,5,9,2019-08-15,0.53,2,126
100093,Entire home/apt in Chelsea,181458,Miguel,Manhattan,Chelsea,40.75982,-73.96897,Entire home/apt,175.0,3,10,2019-01-15,0.54,3,66
100094,Entire home/apt in Williamsburg,326889,Priya,Brooklyn,Williamsburg,40.69263,-73.9694,Entire home/apt,111.0,14,8,2019-06-15,0.59,1,0
100095,Entire home/apt in Chelsea,307945,John,Manhattan,Chelsea,40.7827,-73.96945,Entire home/apt,124.0,4,10,2019-03-15,0.71,1,182
100096,Private room in Chelsea,704590,Sara,Manhattan,Chelsea,40.77246,-73.96828,Private room,96.0,3,18,2019-01-15,0.99,2,365
100097,Private room in Crown Heights,691974,Alex,Brooklyn,Crown Heights,40.67985,-73.96705,Private room,125.0,5,2,2019-04-15,0.96,1,0
100098,Entire home/apt in Flatbush,93301,Priya,Brooklyn,Flatbush,40.6719,-73.90712,Entire home/apt,67.0,4,1,2019-07-15,0.0,3,247
100099,Private room in East Village,832313,Fatima,Manhattan,East Village,40.78702,-74.04232,Private room,98.0,1,6,2019-02-15,0.0,3,365
100100,Entire home/apt in Bushwick,301527,Alex,Brooklyn,Bushwick,40.68717,-73.93311,Entire home/apt,111.0,7,13,2019-08-15,1.0,2,365
100101,Entire home/apt in Astoria,265562,Wei,Queens,Astoria,40.73331,-73.75792,Entire home/apt,153.0,5,23,2019-04-15,1.51,2,212
100102,Entire home/apt in Upper West Side,336157,Sara,Manhattan,Upper West Side,40.72833,-73.9555,Entire home/apt,436.0,7,17,2019-01-15,0.09,1,171
100103,Private room in Williamsburg,534648,Chen,Brooklyn,Williamsburg,40.6369,-73.94966,Private room,82.0,3,1,2019-05-15,0.34,4,179
100104,Entire home/apt in Riverdale,891990,Sara,Bronx,Riverdale,40.85361,-73.78904,Entire home/apt,64.0,1,8,2019-08-15,0.29,3,165
100105,Private room in East Village,621806,Sara,Manhattan,East Village,40.76372,-74.01926,Private room,140.0,4,9,2019-02-15,0.02,1,76
100106,Private room in Greenpoint,161448,Priya,Brooklyn,Greenpoint,40.68952,-73.96998,Private room,87.0,1,10,2019-08-15,0.0,1,103
100107,Entire home/apt in Flatbush,716574,David,Brooklyn,Flatbush,40.64756,-73.91317,Entire home/apt,159.0,5,8,2019-07-15,0.0,2,100
100108,Private room in Astoria,292520,Chen,Queens,Astoria,40.73379,-73.76631,Private room,58.0,2,3,2019-04-15,0.0,1,331
100109,Private room in Astoria,444852,Maria,Queens,Astoria,40.72385,-73.76791,Private room,48.0,3,5,2019-05-15,0.16,2,189
100110,Private room in Upper West Side,459124,John,Manhattan,Upper West Side,40.82021,-73.97466,Private room,88.0,14,1,2019-01-15,0.45,4,120
100111,Private room in Upper East Side,867181,Priya,Manhattan,Upper East Side,40.77622,-73.92792,Private room,111.0,3,1,2019-02-15,0.26,1,248
100112,Entire home/apt in Bedford-Stuyvesant,786810,John,Brooklyn,Bedford-Stuyvesant,40.68289,-73.93963,Entire home/apt,243.0,4,6,2019-01-15,0.5,4,119
100113,Private room in Long Island City,993398,Alex,Queens,Long Island City,40.7003,-73.75733,Private room,54.0,1,5,2019-05-15,0.66,1,0
100114,Private room in Long Island City,67973,Chen,Queens,Long Island City,40.74963,-73.79347,Private room,60.0,2,10,2019-02-15,0.38,3,200
100115,Private room in Bushwick,567383,Wei,Brooklyn,Bushwick,40.66155,-73.90686,Private room,47.0,2,1,2019-03-15,0.01,4,0
100116,Private room in Bushwick,179942,Maria,Brooklyn,Bushwick,40.67785,-73.91609,Private room,106.0,5,12,2019-07-15,0.44,5,160
100117,Entire home/apt in Hell's Kitchen,252455,Priya,Manhattan,Hell's Kitchen,40.78929,-73.98856,Entire home/apt,197.0,3,8,2019-06-15,0.4,3,36
100118,Private room in Chelsea,177750,David,Manhattan,Chelsea,40.76755,-73.96744,Private room,161.0,2,5,2019-07-15,0.35,3,131
100119,Entire home/apt in Bedford-Stuyvesant,220138,Sara,Brooklyn,Bedford-Stuyvesant,40.70374,-74.00129,Entire home/apt,141.0,7,7,2019-05-15,0.0,5,145
100120,Entire home/apt in Bushwick,82643,Fatima,Brooklyn,Bushwick,40.6803,-73.93914,Entire home/apt,97.0,1,3,2019-05-15,0.0,2,7
100121,Private room in Financial District,476697,Fatima,Manhattan,Financial District,40.7713,-73.89725,Private room,122.0,2,2,2019-05-15,0.55,1,257
100122,Entire home/apt in Bedford-Stuyvesant,353839,John,Brooklyn,Bedford-Stuyvesant,40.69078,-73.93405,Entire home/apt,185.0,4,11,2019-08-15,0.18,1,260
100123,Entire home/apt in Financial District,274391,Chen,Manhattan,Financial District,40.78712,-73.98491,Entire home/apt,315.0,2,2,2019-04-15,0.24,2,101
100124,Private room in Financial District,195529,Alex,Manhattan,Financial District,40.76454,-73.95419,Private room,120.0,3,8,2019-03-15,0.0,1,90
100125,Private room in East Village,299986,Chen,Manhattan,East Village,40.74519,-73.96203,Private room,114.0,14,5,2019-05-15,0.6,4,315
100126,Private room in Astoria,170112,Fatima,Queens,Astoria,40.72109,-73.78603,Private room,45.0,3,7,2019-03-15,0.84,2,176
100127,Entire home/apt in Greenpoint,990177,Maria,Brooklyn,Greenpoint,40.65628,-73.98172,Entire home/apt,96.0,1,17,2019-06-15,0.44,1,0
100128,Entire home/apt in Upper West Side,159729,Fatima,Manhattan,Upper West Side,40.79105,-73.93678,Entire home/apt,242.0,7,5,2019-08-15,0.0,2,47
100129,Private room in Bedford-Stuyvesant,141079,Priya,Brooklyn,Bedford-Stuyvesant,40.67882,-73.90972,Private room,65.0,3,5,2019-08-15,0.84,3,0
100130,Entire home/apt in Crown Heights,489037,Sara,Brooklyn,Crown Heights,40.67177,-73.96638,Entire home/apt,110.0,30,14,2019-04-15,0.0,3,163
100131,Private room in Financial District,129737,Sara,Manhattan,Financial District,40.79939,-74.00609,Private room,75.0,2,4,2019-06-15,0.95,2,163
100132,Entire home/apt in East Village,143796,Sara,Manhattan,East Village,40.77493,-73.97192,Entire home/apt,159.0,14,12,2019-01-15,0.58,5,96
100133,Private room in Chelsea,799713,Chen,Manhattan,Chelsea,40.78975,-73.91202,Private room,90.0,7,4,2019-04-15,0.03,1,86
100134,Private room in Ridgewood,282077,Priya,Queens,Ridgewood,40.71749,-73.72396,Private room,61.0,1,3,2019-06-15,0.0,2,206
100135,Private room in Bedford-Stuyvesant,234761,Chen,Brooklyn,Bedford-Stuyvesant,40.70319,-73.94757,Private room,61.0,1,3,2019-05-15,0.69,2,101
100136,Private room in Harlem,807421,Maria,Manhattan,Harlem,40.77998,-73.89685,Private room,67.0,1,4,2019-04-15,0.25,2,158
100137,Entire home/apt in Midtown,341787,Alex,Manhattan,Midtown,40.76555,-73.98512,Entire home/apt,254.0,2,3,2019-02-15,0.5,3,365
100138,Entire home/apt in Hell's Kitchen,487057,John,Manhattan,Hell's Kitchen,40.77689,-73.94825,Entire home/apt,194.0,1,0,,,3,73
100139,Private room in Park Slope,388665,John,Brooklyn,Park Slope,40.68892,-73.93672,Private room,88.0,14,4,2019-02-15,0.0,1,298
100140,Entire home/apt in Bedford-Stuyvesant,355446,Priya,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95593,Entire home/apt,304.0,1,13,2019-01-15,0.65,2,59
100141,Private room in Harlem,133413,Maria,Manhattan,Harlem,40.7871,-73.9507,Private room,144.0,2,11,2019-06-15,0.61,1,233
100142,Entire home/apt in Harlem,477605,Miguel,Manhattan,Harlem,40.74756,-73.99566,Entire home/apt,282.0,5,7,2019-06-15,0.73,1,201
100143,Entire home/apt in Williamsburg,421633,Wei,Brooklyn,Williamsburg,40.69834,-73.93001,Entire home/apt,94.0,4,16,2019-05-15,0.0,2,240
100144,Private room in Harlem,933454,Alex,Manhattan,Harlem,40.78692,-73.93808,Private room,113.0,2,6,2019-08-15,0.35,5,309
100145,Entire home/apt in Financial District,27175,David,Manhattan,Financial District,40.80889,-73.9973,Entire home/apt,146.0,3,7,2019-04-15,0.72,1,0
100146,Entire home/apt in East Village,561038,John,Manhattan,East Village,40.79137,-73.98772,Entire home/apt,183.0,2,5,2019-08-15,0.01,2,152
100147,Entire home/apt in Bushwick,954313,Sara,Brooklyn,Bushwick,40.73977,-73.92852,Entire home/apt,203.0,3,10,2019-01-15,0.47,1,72
100148,Entire home/apt in Crown Heights,648314,Alex,Brooklyn,Crown Heights,40.6962,-73.93548,Entire home/apt,126.0,7,5,2019-07-15,0.1,1,0
100149,Private room in Long Island City,342926,Alex,Queens,Long Island City,40.74713,-73.76367,Private room,51.0,3,6,2019-01-15,0.04,1,0
100150,Entire home/apt in Harlem,879089,Priya,Manhattan,Harlem,40.78206,-73.96726,Entire home/apt,349.0,2,1,2019-01-15,0.0,3,202
100151,Private room in Financial District,751571,Fatima,Manhattan,Financial District,40.74501,-73.98633,Private room,80.0,2,2,2019-06-15,0.0,4,296
100152,Private room in Bedford-Stuyvesant,676716,Sara,Brooklyn,Bedford-Stuyvesant,40.68787,-73.94521,Private room,107.0,7,3,2019-04-15,0.5,1,145
100153,Entire home/apt in Greenpoint,681690,Sara,Brooklyn,Greenpoint,40.71554,-73.92022,Entire home/apt,213.0,30,18,2019-05-15,0.96,1,365
100154,Entire home/apt in Financial District,109477,Maria,Manhattan,Financial District,40.76757,-73.94164,Entire home/apt,235.0,1,6,2019-01-15,0.16,2,0
100155,Private room in Long Island City,863817,John,Queens,Long Island City,40.71109,-73.7781,Private room,66.0,2,15,2019-07-15,0.24,2,290
100156,Private room in East Village,722754,Sara,Manhattan,East Village,40.75219,-73.96615,Private room,147.0,2,4,2019-01-15,0.6,2,161
100157,Entire home/apt in Midtown,247229,Priya,Manhattan,Midtown,40.80736,-73.95946,Entire home/apt,159.0,2,3,2019-05-15,0.31,1,272
100158,Private room in Astoria,672766,John,Queens,Astoria,40.72902,-73.72084,Private room,33.0,14,3,2019-07-15,0.5,1,235
100159,Entire home/apt in Midtown,389944,Chen,Manhattan,Midtown,40.80953,-73.94948,Entire home/apt,353.0,1,5,2019-04-15,0.0,2,243
100160,Private room in Flatbush,360572,Priya,Brooklyn,Flatbush,40.68206,-73.96799,Private room,55.0,5,4,2019-04-15,0.0,1,365
100161,Entire home/apt in Midtown,600672,David,Manhattan,Midtown,40.79173,-73.97217,Entire home/apt,227.0,2,1,2019-06-15,0.09,1,68
100162,Private room in Upper East Side,734460,Wei,Manhattan,Upper East Side,40.77472,-73.91034,Private room,92.0,5,8,2019-05-15,0.43,1,148
100163,Shared room in Flatbush,168123,Maria,Brooklyn,Flatbush,40.67903,-73.90111,Shared room,46.0,5,8,2019-07-15,0.24,4,200
100164,Entire home/apt in Bushwick,344471,John,Brooklyn,Bushwick,40.68776,-73.9282,Entire home/apt,162.0,1,0,,,2,77
100165,Private room in Ridgewood,686769,Priya,Queens,Ridgewood,40.71775,-73.75618,Private room,39.0,2,21,2019-01-15,0.81,1,44
100166,Private room in Harlem,310693,Priya,Manhattan,Harlem,40.77316,-73.97935,Private room,128.0,5,8,2019-08-15,0.51,5,340
100167,Private room in Chelsea,862303,John,Manhattan,Chelsea,40.83291,-73.98224,Private room,106.0,3,8,2019-05-15,0.0,2,77
100168,Private room in Greenpoint,434971,Alex,Brooklyn,Greenpoint,40.67402,-73.98216,Private room,104.0,4,1,2019-01-15,0.28,1,217
100169,Private room in Chelsea,422140,David,Manhattan,Chelsea,40.79781,-73.99909,Private room,87.0,2,7,2019-05-15,0.31,7,0
100170,Entire home/apt in Williamsburg,527947,Fatima,Brooklyn,Williamsburg,40.68402,-73.91451,Entire home/apt,111.0,3,2,2019-06-15,0.0,1,104
100171,Entire home/apt in Park Slope,236218,Fatima,Brooklyn,Park Slope,40.70264,-73.94591,Entire home/apt,139.0,2,7,2019-06-15,0.86,1,118
100172,Entire home/apt in Williamsburg,115095,Wei,Brooklyn,Williamsburg,40.63132,-73.94682,Entire home/apt,132.0,2,8,2019-03-15,0.0,1,10
100173,Private room in Ridgewood,626114,David,Queens,Ridgewood,40.77485,-73.82047,Private room,66.0,30,6,2019-08-15,0.41,2,96
100174,Entire home/apt in Harlem,718520,Priya,Manhattan,Harlem,40.76773,-73.97886,Entire home/apt,136.0,2,1,2019-02-15,0.29,2,129
100175,Entire home/apt in Bedford-Stuyvesant,812587,Wei,Brooklyn,Bedford-Stuyvesant,40.70505,-73.87133,Entire home/apt,157.0,3,1,2019-08-15,0.0,2,16
100176,Entire home/apt in Williamsburg,523637,David,Brooklyn,Williamsburg,40.66289,-73.97569,Entire home/apt,110.0,7,10,2019-06-15,0.91,2,154
100177,Entire home/apt in Midtown,769487,Priya,Manhattan,Midtown,40.73594,-73.9938,Entire home/apt,174.0,4,8,2019-04-15,0.0,1,365
100178,Entire home/apt in Financial District,477897,Maria,Manhattan,Financial District,40.78255,-73.97867,Entire home/apt,246.0,3,2,2019-06-15,0.56,2,70
100179,Entire home/apt in Park Slope,489881,Fatima,Brooklyn,Park Slope,40.68306,-73.91714,Entire home/apt,224.0,3,28,2019-03-15,1.35,2,249
100180,Private room in Bushwick,51016,Wei,Brooklyn,Bushwick,40.6781,-73.93814,Private room,150.0,1,5,2019-02-15,0.0,2,181
100181,Entire home/apt in Crown Heights,54346,Alex,Brooklyn,Crown Heights,40.67737,-73.9873,Entire home/apt,172.0,4,4,2019-04-15,0.33,1,272
100182,Entire home/apt in Upper East Side,557173,Chen,Manhattan,Upper East Side,40.76343,-73.96556,Entire home/apt,182.0,2,2,2019-08-15,0.02,4,108
100183,Private room in Flushing,672895,Maria,Queens,Flushing,40.7416,-73.79355,Private room,59.0,2,2,2019-08-15,0.0,3,131
